sku,product_name,product_id,precondition_id,precondition,status,owner,notes
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,hero_image_uploaded,Hero image uploaded and linked to product,blocked,merchandising,image_url missing
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,catalogue_image_uploaded,Square catalogue image uploaded,blocked,merchandising,image_url missing
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,description_approved,Buyer description approved and saved to products.description,draft_ready,merchandising,CSV draft prepared — not written to DB
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,is_active_verified,products.is_active confirmed true,unverified,catalogue_admin,not in 2026-06-09 snapshot
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,aliases_verified,Live product_aliases count verified,ready,language_ops,21 live rows in snapshot
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,resolver_pass,Resolver PASS on primary utterance,ready,language_ops,PASS
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,pilot_qa_signoff,First-5 pilot QA sign-off on staging/preview,pending,operations,
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,visible_in_catalog_flip,Governed visible_in_catalog activation (single SKU),do_not_activate,catalogue_admin,await all preconditions; no bulk publish
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,hero_image_uploaded,Hero image uploaded and linked to product,blocked,merchandising,image_url missing
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,catalogue_image_uploaded,Square catalogue image uploaded,blocked,merchandising,image_url missing
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,description_approved,Buyer description approved and saved to products.description,draft_ready,merchandising,CSV draft prepared — not written to DB
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,is_active_verified,products.is_active confirmed true,unverified,catalogue_admin,not in 2026-06-09 snapshot
