sku,product_name,product_id,activation_order,step_id,step_label,owner,prerequisite,status,blocker
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,1,intake_upload,Hero and square uploaded to intake prefix,merchandising,none,pending,0 files in intake
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,1,image_review,Image reviewer checklist passed (clarity product packaging watermark catalogue),merchandising_lead,intake_upload,pending,awaiting upload
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,1,image_publish,Square published to live prefix and image_url linked,catalogue_admin,image_review,deferred,no direct product update in intake wave
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,1,description_review,Description approval checklist signed,merchandising,none,pending,draft in CSV only
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,1,description_publish,Description saved to products.description,catalogue_admin,description_review,deferred,governed write separate
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,1,is_active_verify,products.is_active confirmed true,catalogue_admin,none,unverified,not in snapshot
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,1,aliases_verify,Live product_aliases count re-verified,language_ops,none,ready,21 live rows
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,1,resolver_verify,Resolver PASS on primary utterance,language_ops,none,ready,PASS
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,1,staging_qa,Staging buyer preview QA,operations,"image_publish,description_publish,is_active_verify",pending,blocked on media
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,1,visibility_flip,Per-SKU visible_in_catalog activation,catalogue_admin,all_prior_steps,do_not_activate,no bulk publish
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,2,intake_upload,Hero and square uploaded to intake prefix,merchandising,none,pending,0 files in intake
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,2,image_review,Image reviewer checklist passed (clarity product packaging watermark catalogue),merchandising_lead,intake_upload,pending,awaiting upload
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,2,image_publish,Square published to live prefix and image_url linked,catalogue_admin,image_review,deferred,no direct product update in intake wave
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,2,description_review,Description approval checklist signed,merchandising,none,pending,draft in CSV only
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,2,description_publish,Description saved to products.description,catalogue_admin,description_review,deferred,governed write separate
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,2,is_active_verify,products.is_active confirmed true,catalogue_admin,none,unverified,not in snapshot
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,2,aliases_verify,Live product_aliases count re-verified,language_ops,none,ready,19 live rows
